id,File Name/ Speaker Language,Ground Truth Script,SR Transcript,Ground Truth Length,SR Transcript Length,# correct tokens,# Substitutions,# Insertions,# Deletions,Accuracy,WER
1,mongolian4.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store six points of fresh snow peas five six laps of blue cheese and maybe a snack for her brother Bob we also need a small plastic snake snack and a big toy frog for the kids she can scoop these things into three redbacks and we will go meet her Wednesday at the train station,69,69,64,4,1,1,92%,0.08695652
2,spanish10.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella has her to bring this thing with her from the start sick is Bones on Friends snow peas funny things loves of blue cheese and maybe a snack for her brother Bob we also need a small plastic snake and a big toy frog from the kids chicken is cooked dissing in two or three rail bags and we will go meet her Wednesday at the train station,69,71,50,19,2,0,72%,0.3043478
3,portuguese12.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store 6 pounds of fresh no peace five six flags of blue cheese and maybe a snack for that brother but we also need a small plastic snake in the big toy frog for kids chicken scoop these things into 3 rep max and we will go meet her Wednesday at the train station,69,67,53,14,0,2,76%,0.23188406
4,french17.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her home with her from the storm sheet spoons of Fresno Bee Gees five six flags of blue cheese and maybe a snack for a brother but we also need a small package snake and a big toy frog for the kids she can scoop the same sin 2 3 red bags and we'll go meet her Wednesday at the train station,69,72,53,15,4,1,76%,0.28985506
5,korean5.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store 6 Plus have a fresh snow peas V stay at 5 stick slaps of blue cheese and maybe a snake off of her brother but we also need a small plastic snake and the big toy frog for the kids she can scoop these things into three red bags and we will go meet Wednesday at the train station,69,73,58,10,5,1,84%,0.23188406
6,turkish16.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store 6 Punjab Fresno T56 lots of blue cheese and maybe a snack for her brother but you also need a small plastic snake and the bee toy truck for the kids she can scoop these things into three. Bags and we will go meet her Wednesday at the train station,69,64,53,11,0,5,76%,0.23188406
7,dutch44.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store 6 pounds of fresh no fees five six laps blue cheese and maybe a snack for her brother Bob we also need a small plastic snake and a big toy frog for the kids she can screw these things and just re-read that and we will go meet her Wednesday at the train station,69,68,57,11,0,1,82%,0.17391305
8,albanian4.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her with her from the store six forms of fresh snow peas five thick slabs of blue cheese and maybe after her brother. We also need a small plastic snake and a big toy frog for the kids she can School and we will go meet her Wednesday at the train station,69,62,56,4,2,9,81%,0.2173913
9,arabic2.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into the three red bags and we will go meet her Wednesday at the train station,69,70,69,0,1,0,100%,0.014492754
10,bulgarian7.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store 6 pounds of fresh snow peas five six laps of blue cheese and maybe a snack for her brother but we also need a small plastic snake and the big toy frog for the kids she can scrub these things into three red bags and we will meet her Wednesday at the train station,69,68,61,7,0,1,88%,0.11594203
